Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
02-JAN-2024,48194.8,48223.55,47689.8,47761.65,183177683,8751.01
03-JAN-2024,47796.3,47798.75,47481.35,47704.95,233345158,9832.53
04-JAN-2024,47805.4,48281.2,47738.15,48195.85,175744981,9718.17
05-JAN-2024,48245.55,48381.95,47822.85,48159,180954626,9834.28
08-JAN-2024,48096.65,48154.5,47387.35,47450.25,231436501,9469.54
09-JAN-2024,47705.4,47939.3,47156.05,47242.65,160987383,7934.05
10-JAN-2024,47073.85,47423.45,47010.8,47360.85,165160645,6969.8
11-JAN-2024,47538.6,47662.1,47237,47438.35,132519875,5966.43
12-JAN-2024,47572.7,47873.7,47408.5,47709.8,191640544,7146.18
15-JAN-2024,47891.05,48248.05,47825.4,48158.3,167053734,8548.16
16-JAN-2024,48109.95,48305.4,48002.85,48125.1,224460146,8140.38
17-JAN-2024,46573.95,47212.75,45979.6,46064.45,499645242,29225.38
18-JAN-2024,45492.75,46184.05,45430.7,45713.55,275044049,19277.92
19-JAN-2024,46103.5,46249.85,45558.05,45701.15,296609385,17405.47
20-JAN-2024,45989.25,46183.7,45640.9,46058.2,157202694,7004.79
23-JAN-2024,46495.45,46580.3,44886.1,45015.05,422624502,23485.75
24-JAN-2024,44489.4,45485.5,44489.4,45082.4,348696634,17822.46
25-JAN-2024,45057.95,45139.05,44429,44866.15,386805113,19114.35
29-JAN-2024,45171.5,45660.35,45110.9,45442.35,336781672,14163.2
30-JAN-2024,45481.5,45678.7,45206.05,45367.75,232110117,10108.33
31-JAN-2024,45295.65,46179.75,45071.2,45996.8,373131629,16491.11
01-FEB-2024,46164.9,46306.9,45668.35,46188.65,305721773,10681.78
